owner_id,show,num,considered,mean_top5,sample,owner_application_date,owner_number_of_shows,error_type,error
72a882b2-23e3-f8bf-b709-758627e14b8b,1,5,10,0.6595,"[{'user_id': '5d9ea0c4-6c81-8566-8c48-cade0609a513', 'score': 0.9164}, {'user_id': '8fb05aca-3f87-d7da-a087-b3f7e04aa2cc', 'score': 0.6191}, {'user_id': 'bc8fd0fc-125c-9a2a-1d24-bde6558e77c5', 'score': 0.6181}]",2025-08-09,0,,
74224b08-d73c-1267-4d50-f66bba7344ea,1,4,10,0.6832,"[{'user_id': '8c04d6e7-5cb3-db6e-506f-8e8e5ca67651', 'score': 0.7032}, {'user_id': 'b862d2d0-73b8-1f25-e45d-96557f9cd8bf', 'score': 0.7008}, {'user_id': 'e79c66cc-95e1-0027-9b3e-bf3445edbad4', 'score': 0.6796}]",2025-07-28,0,,
e088927f-ed91-0de4-13eb-a12b68a4941a,1,4,10,0.5628,"[{'user_id': '7fbd1feb-7321-b422-8863-e2d178f00f8d', 'score': 0.6191}, {'user_id': '99f67263-cad4-6d44-94a1-59f646d9a83c', 'score': 0.6188}, {'user_id': '82fe9746-47f6-48d6-b00d-012f560d5e8b', 'score': 0.5657}]",2025-07-22,0,,
41c6ac98-d10a-17fd-fdb1-fee7576a5856,1,5,10,0.6456,"[{'user_id': 'cc1270c4-19c2-c46d-55e1-73bb389ae0d4', 'score': 0.6769}, {'user_id': 'c6f91bbd-98a5-f03a-f76a-9b24da4489d9', 'score': 0.6711}, {'user_id': '73097ec0-fb99-53bf-dd4b-30146e8a8215', 'score': 0.6292}]",2025-07-25,1,,
b8492286-d194-6c8d-ed7b-961b32bd1bb5,1,2,2,0.689,"[{'user_id': 'd09dd8a3-b791-e3ba-85c0-730f6ba746d9', 'score': 0.689}, {'user_id': '67bc54d5-321e-322d-5a8f-6142427bab54', 'score': 0.689}]",2025-07-19,0,,
