owner_id,show,num,considered,mean_top5,sample,owner_application_date,owner_number_of_shows,error_type,error
f4e5df6b-fcf6-565a-853c-52b526e5218f,1,5,10,0.5534,"[{'user_id': 'e8e54f69-7174-bc00-111b-b84460b81650', 'score': 0.5667}, {'user_id': '815f887a-8fc1-7bf2-ae3a-d761df5580d8', 'score': 0.5531}, {'user_id': 'e9d71d4d-4eec-9189-6d98-6c544fa5f253', 'score': 0.552}]",2025-07-05,0,,
95eb7b7d-310c-eb7d-e7eb-7decad6bd592,1,2,2,0.4944,"[{'user_id': 'e159a106-7c81-8e55-7125-4b48c4aba5d9', 'score': 0.675}, {'user_id': 'ac8f1bdb-05fa-06a1-e593-40863cdb80d1', 'score': 0.3138}]",2025-07-20,0,,
981427d4-5c15-3878-8023-0a60ec91fc4b,0,0,0,0.0,[],2025-07-29,0,,
dfa26407-aa3f-d174-c22d-5ce8740fdee5,1,5,10,0.6201,"[{'user_id': '97a556ee-11ca-79f7-8ae3-966b0b88fcaf', 'score': 0.6418}, {'user_id': '2910eefb-a16d-e347-54d2-695b69943409', 'score': 0.6166}, {'user_id': '9d6bd8d6-a7a7-de13-e83b-9a3eb60647e9', 'score': 0.6144}]",2025-08-01,0,,
295861f9-fe39-648b-46ee-c4c6d849b5c1,1,6,10,0.6031,"[{'user_id': '61d5af8b-07ac-4497-ad82-57fccbab7243', 'score': 0.6786}, {'user_id': '9f467798-22ef-3d0a-1592-341aa5d111db', 'score': 0.6302}, {'user_id': '56fd8f05-900a-7d87-cf85-ee928d83adc6', 'score': 0.5841}]",2025-08-09,0,,
443105c9-5329-eb90-4d8d-228353664992,1,4,10,0.6581,"[{'user_id': '3e0dd798-c605-c53f-1eb8-1286804142a1', 'score': 0.6775}, {'user_id': '20e46ffb-9c12-d899-e6ba-6e30234e802b', 'score': 0.6645}, {'user_id': '061a4fdd-c287-ea50-282b-3fb79fbfd1f3', 'score': 0.6589}]",2025-07-18,0,,
96bf7189-814a-f0cb-3f2d-989cee5918d1,1,6,10,0.7205,"[{'user_id': '4610e882-be07-6b7a-f543-be7dcb0afe00', 'score': 0.7629}, {'user_id': '78f584d4-ff3e-4e4a-8d7b-03f98c5b89fe', 'score': 0.7244}, {'user_id': 'd4f83b87-6379-66f8-0414-555980d170e7', 'score': 0.7221}]",2025-07-22,0,,
4d73959b-1743-d711-7e3b-918a60418470,1,4,10,0.5945,"[{'user_id': 'ea27baf0-d0da-488c-ca57-b57b5024e57f', 'score': 0.6295}, {'user_id': 'c90708e4-5389-cbdf-d3e5-ffeb5de84227', 'score': 0.6087}, {'user_id': '3b11f2f0-f900-f1c7-6ec1-20a3aaf7f146', 'score': 0.583}]",2025-07-13,0,,
45fe06ed-634e-2da4-1d22-e3e4656e8081,1,2,3,0.4619,"[{'user_id': '10d0c620-8c9f-a801-10c0-86f60697162f', 'score': 0.4703}, {'user_id': 'd33c0239-b840-05b3-4f3a-43d218b7f570', 'score': 0.4702}, {'user_id': '95b498b5-c001-5f1d-98b3-1b7ebd44ab49', 'score': 0.4452}]",2025-07-27,0,,
fab31824-dcfa-58b7-4aec-19a962769d7f,1,5,10,0.6347,"[{'user_id': '1d0bb22d-829b-2939-29e6-839e32000275', 'score': 0.651}, {'user_id': 'e6796afe-d255-afd9-4b69-cf917fd3850f', 'score': 0.6403}, {'user_id': '9c4b6057-3fee-4bae-9bb4-235c0d9913a3', 'score': 0.6329}]",2025-07-15,0,,
3fc907a5-71f1-122d-ec75-4f2a498f8f2b,1,2,2,0.4915,"[{'user_id': 'ed5f05da-52fe-244d-969c-63292f5d6d2b', 'score': 0.5131}, {'user_id': '8aa8a412-a367-3b3b-c2dd-de82f21d3c61', 'score': 0.47}]",2025-07-09,0,,
