owner_id,show,num,considered,mean_top5,sample,owner_application_date,owner_number_of_shows,error_type,error
168d5ef8-e37b-4ea0-6028-4d8f77a09242,1,4,6,0.5305,"[{'user_id': '253704a5-0e87-ef7b-8e0e-75f7090d706c', 'score': 0.6165}, {'user_id': '577b7786-9fd9-f9e0-e8cc-b57644d2da28', 'score': 0.5589}, {'user_id': '03a3fe7f-ff5a-ec40-397f-2609de57bcb1', 'score': 0.4993}]",2025-07-10,0,,
4924e5b0-8164-b487-a327-cb097e9cafe0,1,4,9,0.5503,"[{'user_id': 'e0a50286-9c91-5656-bcd0-21f1a6c83ff5', 'score': 0.6168}, {'user_id': '00235b8e-07f6-72f4-98d8-51a511449524', 'score': 0.5954}, {'user_id': 'f80c0344-b60c-0de4-95b1-fefe79f955f2', 'score': 0.5617}]",2025-07-13,0,,
743fd70e-e602-fd30-978b-c4d79961d951,1,5,10,0.6079,"[{'user_id': '3ffa8dae-7ceb-7c09-fa6a-9b1c293c176a', 'score': 0.6347}, {'user_id': '35c1aed1-3b6e-0229-2ebb-3ca25ef0ad81', 'score': 0.6272}, {'user_id': '0eb6a0b4-fa48-4a5a-76e8-7e12bf2b88aa', 'score': 0.5964}]",2025-08-02,0,,
8c3aa944-6987-ce21-9628-c13d2152c0ae,1,4,4,0.4274,"[{'user_id': '74cb0de9-10d8-5891-646e-69bf0a49f4bb', 'score': 0.6155}, {'user_id': 'c96520aa-319d-fb6e-112f-b31febc9c7a5', 'score': 0.4291}, {'user_id': '923ec162-4616-91b4-e250-d0c5e12542fe', 'score': 0.3478}]",2025-07-01,0,,
87ec6d61-b343-6c7b-af46-aee017033e51,1,5,10,0.5048,"[{'user_id': '1d0bb22d-829b-2939-29e6-839e32000275', 'score': 0.5261}, {'user_id': 'c578f65a-2672-77a1-e75b-8e80c7fbe412', 'score': 0.5065}, {'user_id': 'b222c70e-08ba-0212-fc0d-7d6b45a5b64b', 'score': 0.4989}]",2025-08-10,0,,
2c1e6d96-200e-985d-da41-9efafd4bba19,1,2,2,0.5957,"[{'user_id': '2471537c-e84e-ff70-c3e6-7f66bda6f02d', 'score': 0.5988}, {'user_id': '64009ca8-386c-158b-0256-80f162545e41', 'score': 0.5926}]",2025-07-17,0,,
c7efdaa6-4622-2535-3ab2-9d2bf771efb1,1,4,10,0.6402,"[{'user_id': '1d0bb22d-829b-2939-29e6-839e32000275', 'score': 0.6523}, {'user_id': '96905bf7-e203-3f80-bac2-b73a5c237768', 'score': 0.6459}, {'user_id': '6c9f2d5a-9bca-87a3-63f6-7b3bda53fc4b', 'score': 0.6403}]",2025-07-09,0,,
