owner_id,show,num,considered,mean_top5,sample,owner_application_date,owner_number_of_shows,error_type,error
103eb7a7-b56c-04f5-8a77-2876d0dce6c4,1,6,10,0.6038,"[{'user_id': 'a67f54da-23be-f93f-30c3-f9e8dde4416e', 'score': 0.6068}, {'user_id': '4f2f757b-e8bb-55e0-9566-4601a4c60c7e', 'score': 0.6067}, {'user_id': '6c1a808a-e403-fb75-3fe0-d7440d76307a', 'score': 0.6039}]",2025-08-11,1,,
36f80818-405e-2b6a-3d64-c85d110cc0d9,1,4,10,0.6478,"[{'user_id': '9b7017ff-6d73-47a6-74ae-7b544a4ce06c', 'score': 0.8491}, {'user_id': '2ad4f38c-7b54-f6fd-94c8-8a6108c9361a', 'score': 0.6456}, {'user_id': '3870256d-3b13-2e6e-9aea-441ba77eb751', 'score': 0.5894}]",2025-08-01,0,,
19edd1e8-dc85-9d0a-f216-07f130921757,1,5,10,0.5092,"[{'user_id': 'd0e9d9a2-7389-efd0-b051-5637c66e9025', 'score': 0.5591}, {'user_id': 'e412d587-627b-60b1-6c9c-37c8b04699a9', 'score': 0.5079}, {'user_id': '4045bf9f-f375-238a-3341-97bdbc0ac33f', 'score': 0.5024}]",2025-08-08,0,,
f5ef5fc4-ccdc-8627-a184-25418887f7aa,1,6,10,0.4975,"[{'user_id': 'd2440de8-efa3-34ad-a83f-6a857954a293', 'score': 0.5125}, {'user_id': '2ad4f38c-7b54-f6fd-94c8-8a6108c9361a', 'score': 0.5099}, {'user_id': '839c1181-4f36-36ec-f5fc-b15c041576f1', 'score': 0.4901}]",2025-07-04,1,,
6b875498-e347-4d1c-fc1b-a92dbad7a218,1,4,10,0.6068,"[{'user_id': '47750a7d-b39c-77d9-038c-b3d12c2961d4', 'score': 0.65}, {'user_id': '8eecc892-34a8-7ebe-9600-70f922477b0c', 'score': 0.6106}, {'user_id': '709bf8fe-32ab-82fd-4830-9dd7ec8ec6f6', 'score': 0.5963}]",2025-07-01,0,,
