owner_id,show,num,considered,mean_top5,sample,owner_application_date,owner_number_of_shows,error_type,error
c60e8f17-fe0d-ec8b-e912-36df4e30b735,1,5,10,0.5806,"[{'user_id': '29c1c6c6-32ba-47f6-1e6e-c2e7d8d24ed3', 'score': 0.6132}, {'user_id': '1fe12c05-9d2d-038c-aee0-e2d85cc54f47', 'score': 0.5892}, {'user_id': '4938f684-d5c5-2c75-9363-6a1c39afd951', 'score': 0.5842}]",2025-07-13,0,,
f0085c62-ebea-62b5-c73e-56deda3b5b1c,1,3,4,0.4175,"[{'user_id': '79955480-3812-5c1b-67ef-f2ca1eedbaa6', 'score': 0.5497}, {'user_id': '0025d524-935f-6e94-0e53-ee262d848ce6', 'score': 0.4254}, {'user_id': '97ef2393-01a5-f6ab-ef49-669a6bbe8aae', 'score': 0.3561}]",2025-07-26,0,,
305bd3cd-5c3f-caca-a42d-5d0879d383ce,1,4,10,0.5243,"[{'user_id': 'e423c4cc-3c05-ed2f-f439-2525dee744ed', 'score': 0.6163}, {'user_id': '59ff318c-c243-147f-d453-d6d96cfbf38a', 'score': 0.5316}, {'user_id': '4f0969f2-86c5-b4e1-10c3-7560db93f024', 'score': 0.5105}]",2025-07-02,0,,
9e62ecf9-ab45-db7b-764a-653d7d7fcaa3,1,4,10,0.6322,"[{'user_id': '1bb18f1f-c0bc-4c6b-d598-bd122c45d177', 'score': 0.6651}, {'user_id': '4a54afcb-277c-8d4a-6ce5-0d1eac7df323', 'score': 0.6326}, {'user_id': 'f63cad76-86cc-a4eb-132f-a2614c99afba', 'score': 0.6306}]",2025-07-24,0,,
