owner_id,show,num,considered,mean_top5,sample,owner_application_date,owner_number_of_shows,error_type,error
90381a03-1cf5-bf81-3f13-6808f622e751,1,2,2,0.4309,"[{'user_id': '81a6399e-ac29-0d56-06d3-fd9e39bc5942', 'score': 0.5101}, {'user_id': '1d106037-8b71-de31-685e-779958859bd1', 'score': 0.3517}]",2025-07-03,0,,
94f30985-706d-6040-b919-2e4160221256,1,6,10,0.6685,"[{'user_id': 'a2081bc4-203d-5aa1-8f36-6410d72899ef', 'score': 0.7458}, {'user_id': '145127b7-e0f1-534f-85ae-cb4f1dd260c8', 'score': 0.6736}, {'user_id': 'e2f465ad-68a4-e3eb-8acd-16cc70d06dd0', 'score': 0.6635}]",2025-07-16,0,,
d3efb75b-fed2-75f1-97c3-3b2479289f33,1,5,10,0.5935,"[{'user_id': 'f346090f-c406-05cd-3f4f-f35fbaa7b1d3', 'score': 0.6045}, {'user_id': '81355201-b917-4e2c-b974-cd0c51f61cff', 'score': 0.6027}, {'user_id': 'd9a90344-d0f0-8ddd-17cd-8be063bc91ac', 'score': 0.6014}]",2025-07-25,0,,
e05878c3-59c2-4fa7-7beb-52c51ee45d42,1,5,10,0.459,"[{'user_id': 'f63cad76-86cc-a4eb-132f-a2614c99afba', 'score': 0.4857}, {'user_id': 'a1e41878-f1b9-f6a3-216c-94f1ecd891a6', 'score': 0.4788}, {'user_id': '1904389a-540d-89cb-635e-7d842a9a1d9f', 'score': 0.4531}]",2025-08-10,0,,
a38c44e1-9c0a-fa86-080c-812e878aaf6e,1,4,6,0.4468,"[{'user_id': '7702862d-70cc-9133-6d15-7488df3f5000', 'score': 0.5757}, {'user_id': 'c4f49f21-6659-fe24-0c1d-138d3e355a95', 'score': 0.4836}, {'user_id': 'e0ef79ff-e630-662e-01ec-648e99d2bbc3', 'score': 0.443}]",2025-07-25,0,,
