owner_id,show,num,considered,mean_top5,sample,owner_application_date,owner_number_of_shows,error_type,error
599ece6d-84c5-ec56-7fe2-64cf346c22fd,1,5,10,0.5654,"[{'user_id': 'a46d91bd-e4fa-82f4-ca62-ed9243c08781', 'score': 0.6234}, {'user_id': 'd1119f54-fa3d-915f-c2d8-b0d3d76c5505', 'score': 0.569}, {'user_id': 'b4b38807-f28a-f3d2-2e00-75ad972232e5', 'score': 0.5619}]",2025-07-01,0,,
31063c0d-edb8-3d34-9e71-baa079acbe02,1,4,10,0.5673,"[{'user_id': '1ff10c0a-fa79-43ba-ac90-4c492aa7c95b', 'score': 0.6884}, {'user_id': '1f296126-1ddd-23be-b91d-f0ab49b0278d', 'score': 0.5489}, {'user_id': '34095128-d0f6-3bd7-9b37-830f9d654cf0', 'score': 0.5351}]",2025-07-04,0,,
24063752-5dec-421a-33d7-862c936d7c49,1,4,4,0.5342,"[{'user_id': '2f7d897f-50af-0547-d675-41e24693401f', 'score': 0.7235}, {'user_id': '7702862d-70cc-9133-6d15-7488df3f5000', 'score': 0.5651}, {'user_id': '68717852-e269-36ec-365c-9953d5459101', 'score': 0.5375}]",2025-07-05,0,,
0254aff7-280e-028e-ed0e-1799a1c01621,1,3,5,0.2862,"[{'user_id': '0bd1f25b-1a0c-3044-847b-5481d561eb51', 'score': 0.4423}, {'user_id': '9cd1f71f-e38c-2946-2838-03c262d473ec', 'score': 0.2948}, {'user_id': '9b7017ff-6d73-47a6-74ae-7b544a4ce06c', 'score': 0.2472}]",2025-07-09,0,,
