owner_id,show,num,considered,mean_top5,sample,owner_application_date,owner_number_of_shows,error_type,error
0efc5310-e014-a3d9-94ec-3537b75d01b1,1,4,10,0.5063,"[{'user_id': 'a53e49b9-eeff-a926-0a04-8ded30583e17', 'score': 0.527}, {'user_id': '6b6e5f0f-eaf9-a2fc-e93c-3bc3c398293e', 'score': 0.5229}, {'user_id': 'ea27baf0-d0da-488c-ca57-b57b5024e57f', 'score': 0.5108}]",2025-07-03,0,,
227203f3-4a5b-f75c-e814-4821389c7e6b,1,2,2,0.4639,"[{'user_id': 'afb399eb-fb8a-198d-c2c0-4340403fae50', 'score': 0.496}, {'user_id': '9cf682a0-6dbf-d076-abb4-ed452dc27bab', 'score': 0.4317}]",2025-07-19,0,,
de0af67e-dfcb-bf21-35b8-27cf25155f3a,1,4,10,0.6411,"[{'user_id': '5aa7eba0-e57f-e2c7-d55e-a01ff618c805', 'score': 0.6656}, {'user_id': '2f7d897f-50af-0547-d675-41e24693401f', 'score': 0.6535}, {'user_id': '193d5c52-134b-059d-2f19-6f717bf94ce5', 'score': 0.6413}]",2025-07-22,0,,
f530755e-11a3-d0af-53b0-aa2ae6d8e011,1,3,7,0.4916,"[{'user_id': '89822584-9d0c-5c45-f4fe-a1d4a1c2f23c', 'score': 0.5899}, {'user_id': '67cbd391-304c-bcab-ad84-13ecddb156a6', 'score': 0.5189}, {'user_id': '4063c62c-e0a3-61c2-7d2b-125552a60b4c', 'score': 0.4711}]",2025-07-03,0,,
