owner_id,show,num,considered,mean_top5,sample,owner_application_date,owner_number_of_shows,error_type,error
11597725-b16a-28d7-87d5-a4bf0cabef4c,1,4,10,0.6074,"[{'user_id': 'a8dbedfd-ffcd-15dd-d35d-35a793ad1d4b', 'score': 0.6428}, {'user_id': 'bbdb8e82-2258-db24-074e-bd4ead7cfd4e', 'score': 0.6056}, {'user_id': '6e9fd5b8-e158-c408-a809-80e25e049dac', 'score': 0.6054}]",2025-07-09,0,,
ef6c7962-3913-eb64-df73-242071134d65,1,5,10,0.4643,"[{'user_id': '645c820f-40f9-a2df-051a-f7797395688e', 'score': 0.4817}, {'user_id': '0025d524-935f-6e94-0e53-ee262d848ce6', 'score': 0.4723}, {'user_id': 'bd0444f1-41df-c704-9a0b-2343afea8a07', 'score': 0.466}]",2025-07-28,2,,
8145b871-2e69-63cb-0f3e-65c5b49a96ed,1,5,10,0.6306,"[{'user_id': '061a4fdd-c287-ea50-282b-3fb79fbfd1f3', 'score': 0.6512}, {'user_id': '20e46ffb-9c12-d899-e6ba-6e30234e802b', 'score': 0.6348}, {'user_id': 'a67f54da-23be-f93f-30c3-f9e8dde4416e', 'score': 0.6259}]",2025-08-09,1,,
b22bf49f-a7ad-09c5-da43-0059d3d08ad3,1,2,2,0.4912,"[{'user_id': '7964d13a-8dd8-baeb-24e6-7a106448714c', 'score': 0.5965}, {'user_id': 'b3f4185d-a343-0faa-cf50-f863a35eef8c', 'score': 0.386}]",2025-07-20,0,,
8ecbe3d1-66a9-1631-6b3c-d0ec0e5617af,1,4,10,0.5418,"[{'user_id': '0422535c-58ad-ac69-c236-1dec59b11dd1', 'score': 0.5885}, {'user_id': 'be89136a-2142-0c5f-ee4d-5ddee9bb6635', 'score': 0.5328}, {'user_id': '3f1d6d05-55f6-7d02-ad34-f9f57316e45f', 'score': 0.5313}]",2025-08-03,0,,
